"Time","{job=""kafka-brokers""}"
2025-06-08 11:27:15,0 B
2025-06-08 11:27:30,0 B
2025-06-08 11:27:45,6.68 B
2025-06-08 11:28:00,7.21 kB
2025-06-08 11:28:15,11.5 kB
2025-06-08 11:28:30,14.1 kB
2025-06-08 11:28:45,11.7 kB
2025-06-08 11:29:00,10.5 kB
2025-06-08 11:29:15,10.5 kB
2025-06-08 11:29:30,7.80 kB
2025-06-08 11:29:45,8.09 kB
2025-06-08 11:30:00,4.46 kB
2025-06-08 11:30:15,4.22 kB
2025-06-08 11:30:30,11.2 kB
2025-06-08 11:30:45,13.3 kB
2025-06-08 11:31:00,18.2 kB
2025-06-08 11:31:15,16.0 kB
2025-06-08 11:31:30,9.00 kB
2025-06-08 11:31:45,9.05 kB
2025-06-08 11:32:00,9.92 kB
2025-06-08 11:32:15,14.6 kB
2025-06-08 11:32:30,20.6 kB
2025-06-08 11:32:45,26.3 kB
2025-06-08 11:33:00,25.0 kB
2025-06-08 11:33:15,21.5 kB
2025-06-08 11:33:30,13.5 kB
2025-06-08 11:33:45,11.2 kB
2025-06-08 11:34:00,13.5 kB
2025-06-08 11:34:15,15.5 kB
2025-06-08 11:34:30,25.4 kB
2025-06-08 11:34:45,25.5 kB
2025-06-08 11:35:00,29.9 kB
2025-06-08 11:35:15,29.7 kB
2025-06-08 11:35:30,21.2 kB
2025-06-08 11:35:45,20.1 kB
2025-06-08 11:36:00,19.6 kB
2025-06-08 11:36:15,21.8 kB
2025-06-08 11:36:30,25.0 kB
2025-06-08 11:36:45,26.2 kB
2025-06-08 11:37:00,21.1 kB
2025-06-08 11:37:15,23.6 kB
2025-06-08 11:37:30,23.1 kB
2025-06-08 11:37:45,29.8 kB
2025-06-08 11:38:00,35.6 kB
2025-06-08 11:38:15,38.4 kB
2025-06-08 11:38:30,35.3 kB
2025-06-08 11:38:45,28.2 kB
2025-06-08 11:39:00,16.9 kB
2025-06-08 11:39:15,14.2 kB
2025-06-08 11:39:30,18.2 kB
2025-06-08 11:39:45,17.6 kB
2025-06-08 11:40:00,14.7 kB
2025-06-08 11:40:15,9.62 kB
2025-06-08 11:40:30,5.00 kB
2025-06-08 11:40:45,4.34 kB
2025-06-08 11:41:00,8.92 kB
2025-06-08 11:41:15,14.5 kB
2025-06-08 11:41:30,23.5 kB
2025-06-08 11:41:45,24.1 kB
2025-06-08 11:42:00,17.7 kB
2025-06-08 11:42:15,16.6 kB
2025-06-08 11:42:30,21.7 kB
2025-06-08 11:42:45,20.7 kB
2025-06-08 11:43:00,17.5 kB
2025-06-08 11:43:15,14.5 kB
2025-06-08 11:43:30,10.4 kB
2025-06-08 11:43:45,8.24 kB
2025-06-08 11:44:00,10.7 kB
2025-06-08 11:44:15,10.8 kB
2025-06-08 11:44:30,7.62 kB
2025-06-08 11:44:45,7.60 kB
2025-06-08 11:45:00,3.96 kB
2025-06-08 11:45:15,3.93 kB
2025-06-08 11:45:30,3.90 kB
2025-06-08 11:45:45,4.06 kB
2025-06-08 11:46:00,4.21 kB
2025-06-08 11:46:15,4.14 kB
2025-06-08 11:46:30,6.68 kB
2025-06-08 11:46:45,7.43 kB
2025-06-08 11:47:00,8.28 kB
2025-06-08 11:47:15,7.77 kB

