"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 11:27:15,
2025-06-08 11:27:30,
2025-06-08 11:27:45,684 ms
2025-06-08 11:28:00,46.1 ms
2025-06-08 11:28:15,36.6 ms
2025-06-08 11:28:30,30.7 ms
2025-06-08 11:28:45,20.4 ms
2025-06-08 11:29:00,16.2 ms
2025-06-08 11:29:15,15.0 ms
2025-06-08 11:29:30,13.5 ms
2025-06-08 11:29:45,9.64 ms
2025-06-08 11:30:00,3.97 ms
2025-06-08 11:30:15,9.93 ms
2025-06-08 11:30:30,14.7 ms
2025-06-08 11:30:45,14.2 ms
2025-06-08 11:31:00,13.5 ms
2025-06-08 11:31:15,11.8 ms
2025-06-08 11:31:30,7.99 ms
2025-06-08 11:31:45,7.89 ms
2025-06-08 11:32:00,10.0 ms
2025-06-08 11:32:15,11.6 ms
2025-06-08 11:32:30,9.61 ms
2025-06-08 11:32:45,10.7 ms
2025-06-08 11:33:00,10.5 ms
2025-06-08 11:33:15,11.2 ms
2025-06-08 11:33:30,11.2 ms
2025-06-08 11:33:45,10.4 ms
2025-06-08 11:34:00,10.1 ms
2025-06-08 11:34:15,10.8 ms
2025-06-08 11:34:30,11.1 ms
2025-06-08 11:34:45,11.1 ms
2025-06-08 11:35:00,10.7 ms
2025-06-08 11:35:15,10.3 ms
2025-06-08 11:35:30,8.70 ms
2025-06-08 11:35:45,8.58 ms
2025-06-08 11:36:00,8.84 ms
2025-06-08 11:36:15,10.0 ms
2025-06-08 11:36:30,9.94 ms
2025-06-08 11:36:45,9.72 ms
2025-06-08 11:37:00,8.54 ms
2025-06-08 11:37:15,9.13 ms
2025-06-08 11:37:30,9.29 ms
2025-06-08 11:37:45,9.45 ms
2025-06-08 11:38:00,9.57 ms
2025-06-08 11:38:15,9.95 ms
2025-06-08 11:38:30,10.1 ms
2025-06-08 11:38:45,10.0 ms
2025-06-08 11:39:00,9.14 ms
2025-06-08 11:39:15,8.35 ms
2025-06-08 11:39:30,8.27 ms
2025-06-08 11:39:45,7.62 ms
2025-06-08 11:40:00,7.20 ms
2025-06-08 11:40:15,2.48 ms
2025-06-08 11:40:30,2.46 ms
2025-06-08 11:40:45,2.83 ms
2025-06-08 11:41:00,7.46 ms
2025-06-08 11:41:15,8.36 ms
2025-06-08 11:41:30,8.00 ms
2025-06-08 11:41:45,7.78 ms
2025-06-08 11:42:00,5.99 ms
2025-06-08 11:42:15,6.57 ms
2025-06-08 11:42:30,7.19 ms
2025-06-08 11:42:45,6.94 ms
2025-06-08 11:43:00,5.70 ms
2025-06-08 11:43:15,5.42 ms
2025-06-08 11:43:30,5.14 ms
2025-06-08 11:43:45,4.19 ms
2025-06-08 11:44:00,4.99 ms
2025-06-08 11:44:15,4.57 ms
2025-06-08 11:44:30,4.06 ms
2025-06-08 11:44:45,3.75 ms
2025-06-08 11:45:00,2.01 ms
2025-06-08 11:45:15,2.22 ms
2025-06-08 11:45:30,2.08 ms
2025-06-08 11:45:45,2.19 ms
2025-06-08 11:46:00,2.01 ms
2025-06-08 11:46:15,2.06 ms
2025-06-08 11:46:30,4.37 ms
2025-06-08 11:46:45,4.19 ms
2025-06-08 11:47:00,4.24 ms
2025-06-08 11:47:15,3.59 ms

