"Time","histogram_quantile(
    0.999,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 11:27:15,
2025-06-08 11:27:30,
2025-06-08 11:27:45,1.42 s
2025-06-08 11:28:00,1.37 s
2025-06-08 11:28:15,1.12 s
2025-06-08 11:28:30,1.00 s
2025-06-08 11:28:45,126 ms
2025-06-08 11:29:00,64.8 ms
2025-06-08 11:29:15,64.0 ms
2025-06-08 11:29:30,65.6 ms
2025-06-08 11:29:45,49.3 ms
2025-06-08 11:30:00,18.1 ms
2025-06-08 11:30:15,34.8 ms
2025-06-08 11:30:30,72.0 ms
2025-06-08 11:30:45,66.3 ms
2025-06-08 11:31:00,68.4 ms
2025-06-08 11:31:15,59.2 ms
2025-06-08 11:31:30,32.2 ms
2025-06-08 11:31:45,27.6 ms
2025-06-08 11:32:00,31.4 ms
2025-06-08 11:32:15,74.7 ms
2025-06-08 11:32:30,70.3 ms
2025-06-08 11:32:45,79.2 ms
2025-06-08 11:33:00,71.6 ms
2025-06-08 11:33:15,79.9 ms
2025-06-08 11:33:30,55.1 ms
2025-06-08 11:33:45,50.9 ms
2025-06-08 11:34:00,46.7 ms
2025-06-08 11:34:15,51.1 ms
2025-06-08 11:34:30,59.8 ms
2025-06-08 11:34:45,65.5 ms
2025-06-08 11:35:00,64.6 ms
2025-06-08 11:35:15,69.4 ms
2025-06-08 11:35:30,47.2 ms
2025-06-08 11:35:45,48.1 ms
2025-06-08 11:36:00,52.9 ms
2025-06-08 11:36:15,101 ms
2025-06-08 11:36:30,97.5 ms
2025-06-08 11:36:45,97.3 ms
2025-06-08 11:37:00,57.5 ms
2025-06-08 11:37:15,56.6 ms
2025-06-08 11:37:30,59.9 ms
2025-06-08 11:37:45,60.0 ms
2025-06-08 11:38:00,73.1 ms
2025-06-08 11:38:15,123 ms
2025-06-08 11:38:30,128 ms
2025-06-08 11:38:45,153 ms
2025-06-08 11:39:00,55.2 ms
2025-06-08 11:39:15,48.7 ms
2025-06-08 11:39:30,50.5 ms
2025-06-08 11:39:45,43.5 ms
2025-06-08 11:40:00,43.8 ms
2025-06-08 11:40:15,26.3 ms
2025-06-08 11:40:30,21.5 ms
2025-06-08 11:40:45,21.6 ms
2025-06-08 11:41:00,38.6 ms
2025-06-08 11:41:15,63.0 ms
2025-06-08 11:41:30,62.5 ms
2025-06-08 11:41:45,62.2 ms
2025-06-08 11:42:00,44.2 ms
2025-06-08 11:42:15,62.3 ms
2025-06-08 11:42:30,60.5 ms
2025-06-08 11:42:45,59.2 ms
2025-06-08 11:43:00,61.1 ms
2025-06-08 11:43:15,54.8 ms
2025-06-08 11:43:30,62.6 ms
2025-06-08 11:43:45,32.9 ms
2025-06-08 11:44:00,32.7 ms
2025-06-08 11:44:15,46.8 ms
2025-06-08 11:44:30,32.2 ms
2025-06-08 11:44:45,32.8 ms
2025-06-08 11:45:00,26.0 ms
2025-06-08 11:45:15,26.7 ms
2025-06-08 11:45:30,27.0 ms
2025-06-08 11:45:45,26.7 ms
2025-06-08 11:46:00,26.7 ms
2025-06-08 11:46:15,26.0 ms
2025-06-08 11:46:30,36.4 ms
2025-06-08 11:46:45,35.7 ms
2025-06-08 11:47:00,35.4 ms
2025-06-08 11:47:15,35.9 ms

