"Time","histogram_quantile(
    0.999,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 21:50:00,
2025-05-31 21:50:15,178 ms
2025-05-31 21:50:30,785 ms
2025-05-31 21:50:45,206 ms
2025-05-31 21:51:00,342 ms
2025-05-31 21:51:15,120 ms
2025-05-31 21:51:30,115 ms
2025-05-31 21:51:45,93.4 ms
2025-05-31 21:52:00,60.4 ms
2025-05-31 21:52:15,65.7 ms
2025-05-31 21:52:30,72.6 ms
2025-05-31 21:52:45,74.0 ms
2025-05-31 21:53:00,59.9 ms
2025-05-31 21:53:15,98.5 ms
2025-05-31 21:53:30,91.8 ms
2025-05-31 21:53:45,93.4 ms
2025-05-31 21:54:00,72.2 ms
2025-05-31 21:54:15,73.3 ms
2025-05-31 21:54:30,66.6 ms
2025-05-31 21:54:45,66.8 ms
2025-05-31 21:55:00,62.9 ms
2025-05-31 21:55:15,76.0 ms
2025-05-31 21:55:30,82.7 ms
2025-05-31 21:55:45,86.2 ms
2025-05-31 21:56:00,85.4 ms
2025-05-31 21:56:15,81.0 ms
2025-05-31 21:56:30,75.2 ms
2025-05-31 21:56:45,70.2 ms
2025-05-31 21:57:00,62.3 ms
2025-05-31 21:57:15,84.5 ms
2025-05-31 21:57:30,83.8 ms
2025-05-31 21:57:45,83.8 ms
2025-05-31 21:58:00,64.5 ms
2025-05-31 21:58:15,71.5 ms
2025-05-31 21:58:30,80.9 ms
2025-05-31 21:58:45,88.2 ms
2025-05-31 21:59:00,99.2 ms
2025-05-31 21:59:15,92.9 ms
2025-05-31 21:59:30,92.7 ms
2025-05-31 21:59:45,92.3 ms
2025-05-31 22:00:00,77.2 ms
2025-05-31 22:00:15,454 ms
2025-05-31 22:00:30,457 ms
2025-05-31 22:00:45,451 ms
2025-05-31 22:01:00,407 ms
2025-05-31 22:01:15,108 ms
2025-05-31 22:01:30,102 ms
2025-05-31 22:01:45,88.7 ms
2025-05-31 22:02:00,81.7 ms
2025-05-31 22:02:15,82.5 ms
2025-05-31 22:02:30,77.4 ms
2025-05-31 22:02:45,81.4 ms
2025-05-31 22:03:00,44.4 ms
2025-05-31 22:03:15,40.5 ms
2025-05-31 22:03:30,51.3 ms
2025-05-31 22:03:45,78.3 ms
2025-05-31 22:04:00,80.2 ms
2025-05-31 22:04:15,78.9 ms
2025-05-31 22:04:30,74.0 ms
2025-05-31 22:04:45,56.2 ms
2025-05-31 22:05:00,73.0 ms
2025-05-31 22:05:15,105 ms
2025-05-31 22:05:30,106 ms
2025-05-31 22:05:45,110 ms
2025-05-31 22:06:00,59.2 ms
2025-05-31 22:06:15,172 ms
2025-05-31 22:06:30,170 ms
2025-05-31 22:06:45,162 ms
2025-05-31 22:07:00,60.8 ms
2025-05-31 22:07:15,58.0 ms
2025-05-31 22:07:30,72.7 ms
2025-05-31 22:07:45,81.9 ms
2025-05-31 22:08:00,81.5 ms
2025-05-31 22:08:15,81.8 ms
2025-05-31 22:08:30,52.2 ms
2025-05-31 22:08:45,52.1 ms
2025-05-31 22:09:00,51.5 ms
2025-05-31 22:09:15,36.9 ms
2025-05-31 22:09:30,37.7 ms
2025-05-31 22:09:45,38.9 ms
2025-05-31 22:10:00,40.7 ms

