"Time","{job=""kafka-brokers""}"
2025-05-31 22:31:00,2.18 kB
2025-05-31 22:31:15,1.74 kB
2025-05-31 22:31:30,6.95 kB
2025-05-31 22:31:45,13.6 kB
2025-05-31 22:32:00,17.2 kB
2025-05-31 22:32:15,16.7 kB
2025-05-31 22:32:30,10.7 kB
2025-05-31 22:32:45,10.5 kB
2025-05-31 22:33:00,9.23 kB
2025-05-31 22:33:15,7.89 kB
2025-05-31 22:33:30,6.75 kB
2025-05-31 22:33:45,4.50 kB
2025-05-31 22:34:00,5.64 kB
2025-05-31 22:34:15,12.4 kB
2025-05-31 22:34:30,15.1 kB
2025-05-31 22:34:45,18.1 kB
2025-05-31 22:35:00,14.1 kB
2025-05-31 22:35:15,9.15 kB
2025-05-31 22:35:30,8.55 kB
2025-05-31 22:35:45,10.4 kB
2025-05-31 22:36:00,18.1 kB
2025-05-31 22:36:15,21.4 kB
2025-05-31 22:36:30,27.3 kB
2025-05-31 22:36:45,25.4 kB
2025-05-31 22:37:00,21.3 kB
2025-05-31 22:37:15,14.8 kB
2025-05-31 22:37:30,12.3 kB
2025-05-31 22:37:45,14.8 kB
2025-05-31 22:38:00,18.6 kB
2025-05-31 22:38:15,26.2 kB
2025-05-31 22:38:30,27.0 kB
2025-05-31 22:38:45,29.8 kB
2025-05-31 22:39:00,28.5 kB
2025-05-31 22:39:15,20.9 kB
2025-05-31 22:39:30,19.8 kB
2025-05-31 22:39:45,19.7 kB
2025-05-31 22:40:00,24.8 kB
2025-05-31 22:40:15,26.6 kB
2025-05-31 22:40:30,25.9 kB
2025-05-31 22:40:45,21.4 kB
2025-05-31 22:41:00,23.6 kB
2025-05-31 22:41:15,24.5 kB
2025-05-31 22:41:30,31.4 kB
2025-05-31 22:41:45,37.3 kB
2025-05-31 22:42:00,38.9 kB
2025-05-31 22:42:15,35.0 kB
2025-05-31 22:42:30,24.7 kB
2025-05-31 22:42:45,16.8 kB
2025-05-31 22:43:00,12.8 kB
2025-05-31 22:43:15,18.0 kB
2025-05-31 22:43:30,17.4 kB
2025-05-31 22:43:45,14.2 kB
2025-05-31 22:44:00,7.96 kB
2025-05-31 22:44:15,5.19 kB
2025-05-31 22:44:30,4.68 kB
2025-05-31 22:44:45,9.90 kB
2025-05-31 22:45:00,17.4 kB
2025-05-31 22:45:15,24.3 kB
2025-05-31 22:45:30,23.9 kB
2025-05-31 22:45:45,18.4 kB
2025-05-31 22:46:00,17.4 kB
2025-05-31 22:46:15,22.3 kB
2025-05-31 22:46:30,22.2 kB
2025-05-31 22:46:45,17.4 kB
2025-05-31 22:47:00,12.9 kB
2025-05-31 22:47:15,9.99 kB
2025-05-31 22:47:30,7.74 kB
2025-05-31 22:47:45,10.6 kB
2025-05-31 22:48:00,9.15 kB
2025-05-31 22:48:15,7.37 kB
2025-05-31 22:48:30,6.12 kB
2025-05-31 22:48:45,4.00 kB
2025-05-31 22:49:00,4.09 kB
2025-05-31 22:49:15,3.98 kB
2025-05-31 22:49:30,3.94 kB
2025-05-31 22:49:45,3.75 kB
2025-05-31 22:50:00,3.70 kB
2025-05-31 22:50:15,6.50 kB
2025-05-31 22:50:30,7.10 kB
2025-05-31 22:50:45,7.74 kB
2025-05-31 22:51:00,6.01 kB

