"Time","histogram_quantile(
    0.99,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 22:31:00,37.0 ms
2025-05-31 22:31:15,43.8 ms
2025-05-31 22:31:30,41.0 ms
2025-05-31 22:31:45,38.7 ms
2025-05-31 22:32:00,39.3 ms
2025-05-31 22:32:15,40.6 ms
2025-05-31 22:32:30,41.0 ms
2025-05-31 22:32:45,37.9 ms
2025-05-31 22:33:00,33.6 ms
2025-05-31 22:33:15,31.4 ms
2025-05-31 22:33:30,32.9 ms
2025-05-31 22:33:45,34.2 ms
2025-05-31 22:34:00,31.9 ms
2025-05-31 22:34:15,39.7 ms
2025-05-31 22:34:30,39.4 ms
2025-05-31 22:34:45,38.9 ms
2025-05-31 22:35:00,36.0 ms
2025-05-31 22:35:15,32.9 ms
2025-05-31 22:35:30,32.1 ms
2025-05-31 22:35:45,33.1 ms
2025-05-31 22:36:00,34.0 ms
2025-05-31 22:36:15,38.3 ms
2025-05-31 22:36:30,38.8 ms
2025-05-31 22:36:45,39.2 ms
2025-05-31 22:37:00,37.7 ms
2025-05-31 22:37:15,35.5 ms
2025-05-31 22:37:30,34.4 ms
2025-05-31 22:37:45,37.2 ms
2025-05-31 22:38:00,36.6 ms
2025-05-31 22:38:15,36.5 ms
2025-05-31 22:38:30,38.1 ms
2025-05-31 22:38:45,39.0 ms
2025-05-31 22:39:00,39.3 ms
2025-05-31 22:39:15,38.1 ms
2025-05-31 22:39:30,37.1 ms
2025-05-31 22:39:45,37.3 ms
2025-05-31 22:40:00,49.2 ms
2025-05-31 22:40:15,58.1 ms
2025-05-31 22:40:30,57.9 ms
2025-05-31 22:40:45,58.7 ms
2025-05-31 22:41:00,41.8 ms
2025-05-31 22:41:15,39.2 ms
2025-05-31 22:41:30,40.0 ms
2025-05-31 22:41:45,37.1 ms
2025-05-31 22:42:00,35.8 ms
2025-05-31 22:42:15,40.3 ms
2025-05-31 22:42:30,42.5 ms
2025-05-31 22:42:45,44.6 ms
2025-05-31 22:43:00,35.5 ms
2025-05-31 22:43:15,42.2 ms
2025-05-31 22:43:30,42.5 ms
2025-05-31 22:43:45,43.6 ms
2025-05-31 22:44:00,35.7 ms
2025-05-31 22:44:15,32.9 ms
2025-05-31 22:44:30,30.6 ms
2025-05-31 22:44:45,34.1 ms
2025-05-31 22:45:00,35.8 ms
2025-05-31 22:45:15,36.2 ms
2025-05-31 22:45:30,36.1 ms
2025-05-31 22:45:45,35.2 ms
2025-05-31 22:46:00,35.0 ms
2025-05-31 22:46:15,38.9 ms
2025-05-31 22:46:30,39.3 ms
2025-05-31 22:46:45,39.9 ms
2025-05-31 22:47:00,39.0 ms
2025-05-31 22:47:15,37.8 ms
2025-05-31 22:47:30,38.8 ms
2025-05-31 22:47:45,41.1 ms
2025-05-31 22:48:00,38.3 ms
2025-05-31 22:48:15,38.2 ms
2025-05-31 22:48:30,32.2 ms
2025-05-31 22:48:45,41.6 ms
2025-05-31 22:49:00,39.6 ms
2025-05-31 22:49:15,33.0 ms
2025-05-31 22:49:30,32.8 ms
2025-05-31 22:49:45,36.7 ms
2025-05-31 22:50:00,34.4 ms
2025-05-31 22:50:15,35.3 ms
2025-05-31 22:50:30,32.8 ms
2025-05-31 22:50:45,33.4 ms
2025-05-31 22:51:00,32.4 ms

