"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 13:37:00,4.41 ms
2025-05-31 13:37:15,3.83 ms
2025-05-31 13:37:30,7.24 ms
2025-05-31 13:37:45,7.36 ms
2025-05-31 13:38:00,7.01 ms
2025-05-31 13:38:15,6.62 ms
2025-05-31 13:38:30,4.98 ms
2025-05-31 13:38:45,5.14 ms
2025-05-31 13:39:00,4.74 ms
2025-05-31 13:39:15,4.89 ms
2025-05-31 13:39:30,4.19 ms
2025-05-31 13:39:45,3.62 ms
2025-05-31 13:40:00,4.67 ms
2025-05-31 13:40:15,8.09 ms
2025-05-31 13:40:30,7.88 ms
2025-05-31 13:40:45,7.36 ms
2025-05-31 13:41:00,6.70 ms
2025-05-31 13:41:15,4.94 ms
2025-05-31 13:41:30,5.41 ms
2025-05-31 13:41:45,6.04 ms
2025-05-31 13:42:00,6.38 ms
2025-05-31 13:42:15,6.35 ms
2025-05-31 13:42:30,6.61 ms
2025-05-31 13:42:45,6.73 ms
2025-05-31 13:43:00,6.80 ms
2025-05-31 13:43:15,6.59 ms
2025-05-31 13:43:30,5.42 ms
2025-05-31 13:43:45,6.87 ms
2025-05-31 13:44:00,6.60 ms
2025-05-31 13:44:15,7.22 ms
2025-05-31 13:44:30,7.02 ms
2025-05-31 13:44:45,6.94 ms
2025-05-31 13:45:00,6.68 ms
2025-05-31 13:45:15,6.05 ms
2025-05-31 13:45:30,5.88 ms
2025-05-31 13:45:45,5.72 ms
2025-05-31 13:46:00,6.30 ms
2025-05-31 13:46:15,5.86 ms
2025-05-31 13:46:30,5.74 ms
2025-05-31 13:46:45,5.46 ms
2025-05-31 13:47:00,5.84 ms
2025-05-31 13:47:15,6.22 ms
2025-05-31 13:47:30,6.35 ms
2025-05-31 13:47:45,6.27 ms
2025-05-31 13:48:00,6.48 ms
2025-05-31 13:48:15,6.51 ms
2025-05-31 13:48:30,6.73 ms
2025-05-31 13:48:45,6.25 ms
2025-05-31 13:49:00,5.34 ms
2025-05-31 13:49:15,6.20 ms
2025-05-31 13:49:30,5.92 ms
2025-05-31 13:49:45,6.26 ms
2025-05-31 13:50:00,3.64 ms
2025-05-31 13:50:15,3.26 ms
2025-05-31 13:50:30,3.13 ms
2025-05-31 13:50:45,5.32 ms
2025-05-31 13:51:00,6.39 ms
2025-05-31 13:51:15,6.00 ms
2025-05-31 13:51:30,5.89 ms
2025-05-31 13:51:45,4.97 ms
2025-05-31 13:52:00,5.11 ms
2025-05-31 13:52:15,5.41 ms
2025-05-31 13:52:30,5.55 ms
2025-05-31 13:52:45,5.36 ms
2025-05-31 13:53:00,5.31 ms
2025-05-31 13:53:15,4.78 ms
2025-05-31 13:53:30,4.17 ms
2025-05-31 13:53:45,4.76 ms
2025-05-31 13:54:00,4.26 ms
2025-05-31 13:54:15,4.25 ms
2025-05-31 13:54:30,3.86 ms
2025-05-31 13:54:45,2.75 ms
2025-05-31 13:55:00,2.71 ms
2025-05-31 13:55:15,2.94 ms
2025-05-31 13:55:30,2.93 ms
2025-05-31 13:55:45,2.85 ms
2025-05-31 13:56:00,2.74 ms
2025-05-31 13:56:15,4.13 ms
2025-05-31 13:56:30,4.06 ms
2025-05-31 13:56:45,4.04 ms
2025-05-31 13:57:00,3.75 ms

