"Time","histogram_quantile(
    0.999,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 13:37:00,29.8 ms
2025-05-31 13:37:15,31.0 ms
2025-05-31 13:37:30,27.7 ms
2025-05-31 13:37:45,53.9 ms
2025-05-31 13:38:00,52.8 ms
2025-05-31 13:38:15,52.6 ms
2025-05-31 13:38:30,31.0 ms
2025-05-31 13:38:45,37.2 ms
2025-05-31 13:39:00,37.5 ms
2025-05-31 13:39:15,38.5 ms
2025-05-31 13:39:30,35.8 ms
2025-05-31 13:39:45,51.7 ms
2025-05-31 13:40:00,51.2 ms
2025-05-31 13:40:15,158 ms
2025-05-31 13:40:30,108 ms
2025-05-31 13:40:45,101 ms
2025-05-31 13:41:00,60.9 ms
2025-05-31 13:41:15,49.4 ms
2025-05-31 13:41:30,49.5 ms
2025-05-31 13:41:45,46.9 ms
2025-05-31 13:42:00,54.5 ms
2025-05-31 13:42:15,64.5 ms
2025-05-31 13:42:30,63.0 ms
2025-05-31 13:42:45,63.2 ms
2025-05-31 13:43:00,59.2 ms
2025-05-31 13:43:15,51.2 ms
2025-05-31 13:43:30,47.6 ms
2025-05-31 13:43:45,55.3 ms
2025-05-31 13:44:00,54.6 ms
2025-05-31 13:44:15,60.8 ms
2025-05-31 13:44:30,55.5 ms
2025-05-31 13:44:45,58.1 ms
2025-05-31 13:45:00,54.6 ms
2025-05-31 13:45:15,60.2 ms
2025-05-31 13:45:30,49.9 ms
2025-05-31 13:45:45,64.2 ms
2025-05-31 13:46:00,57.6 ms
2025-05-31 13:46:15,55.5 ms
2025-05-31 13:46:30,55.4 ms
2025-05-31 13:46:45,41.1 ms
2025-05-31 13:47:00,41.1 ms
2025-05-31 13:47:15,58.6 ms
2025-05-31 13:47:30,56.8 ms
2025-05-31 13:47:45,44.1 ms
2025-05-31 13:48:00,58.1 ms
2025-05-31 13:48:15,57.4 ms
2025-05-31 13:48:30,59.8 ms
2025-05-31 13:48:45,52.6 ms
2025-05-31 13:49:00,39.1 ms
2025-05-31 13:49:15,88.9 ms
2025-05-31 13:49:30,113 ms
2025-05-31 13:49:45,116 ms
2025-05-31 13:50:00,54.7 ms
2025-05-31 13:50:15,69.7 ms
2025-05-31 13:50:30,73.5 ms
2025-05-31 13:50:45,74.4 ms
2025-05-31 13:51:00,34.9 ms
2025-05-31 13:51:15,57.7 ms
2025-05-31 13:51:30,59.0 ms
2025-05-31 13:51:45,58.7 ms
2025-05-31 13:52:00,56.6 ms
2025-05-31 13:52:15,63.2 ms
2025-05-31 13:52:30,53.6 ms
2025-05-31 13:52:45,62.2 ms
2025-05-31 13:53:00,49.3 ms
2025-05-31 13:53:15,29.8 ms
2025-05-31 13:53:30,32.1 ms
2025-05-31 13:53:45,26.1 ms
2025-05-31 13:54:00,35.9 ms
2025-05-31 13:54:15,38.0 ms
2025-05-31 13:54:30,38.5 ms
2025-05-31 13:54:45,46.5 ms
2025-05-31 13:55:00,29.9 ms
2025-05-31 13:55:15,26.8 ms
2025-05-31 13:55:30,26.2 ms
2025-05-31 13:55:45,26.2 ms
2025-05-31 13:56:00,20.6 ms
2025-05-31 13:56:15,39.1 ms
2025-05-31 13:56:30,38.1 ms
2025-05-31 13:56:45,37.6 ms
2025-05-31 13:57:00,38.6 ms

