"Time","{job=""kafka-brokers""}"
2025-05-31 13:57:15,3.85 kB
2025-05-31 13:57:30,4.25 kB
2025-05-31 13:57:45,7.22 kB
2025-05-31 13:58:00,14.1 kB
2025-05-31 13:58:15,17.0 kB
2025-05-31 13:58:30,15.9 kB
2025-05-31 13:58:45,10.8 kB
2025-05-31 13:59:00,10.5 kB
2025-05-31 13:59:15,8.73 kB
2025-05-31 13:59:30,7.85 kB
2025-05-31 13:59:45,6.29 kB
2025-05-31 14:00:00,4.52 kB
2025-05-31 14:00:15,5.23 kB
2025-05-31 14:00:30,9.69 kB
2025-05-31 14:00:45,14.8 kB
2025-05-31 14:01:00,15.6 kB
2025-05-31 14:01:15,14.2 kB
2025-05-31 14:01:30,9.46 kB
2025-05-31 14:01:45,8.35 kB
2025-05-31 14:02:00,10.1 kB
2025-05-31 14:02:15,18.6 kB
2025-05-31 14:02:30,21.6 kB
2025-05-31 14:02:45,24.9 kB
2025-05-31 14:03:00,27.3 kB
2025-05-31 14:03:15,20.3 kB
2025-05-31 14:03:30,13.7 kB
2025-05-31 14:03:45,11.1 kB
2025-05-31 14:04:00,16.4 kB
2025-05-31 14:04:15,17.7 kB
2025-05-31 14:04:30,27.1 kB
2025-05-31 14:04:45,25.4 kB
2025-05-31 14:05:00,30.4 kB
2025-05-31 14:05:15,29.7 kB
2025-05-31 14:05:30,21.1 kB
2025-05-31 14:05:45,19.1 kB
2025-05-31 14:06:00,22.6 kB
2025-05-31 14:06:15,23.5 kB
2025-05-31 14:06:30,23.5 kB
2025-05-31 14:06:45,25.4 kB
2025-05-31 14:07:00,23.0 kB
2025-05-31 14:07:15,24.3 kB
2025-05-31 14:07:30,23.5 kB
2025-05-31 14:07:45,30.6 kB
2025-05-31 14:08:00,36.3 kB
2025-05-31 14:08:15,36.8 kB
2025-05-31 14:08:30,29.3 kB
2025-05-31 14:08:45,23.7 kB
2025-05-31 14:09:00,16.2 kB
2025-05-31 14:09:15,14.7 kB
2025-05-31 14:09:30,16.5 kB
2025-05-31 14:09:45,16.2 kB
2025-05-31 14:10:00,14.1 kB
2025-05-31 14:10:15,7.56 kB
2025-05-31 14:10:30,5.73 kB
2025-05-31 14:10:45,4.19 kB
2025-05-31 14:11:00,10.7 kB
2025-05-31 14:11:15,18.3 kB
2025-05-31 14:11:30,22.7 kB
2025-05-31 14:11:45,24.8 kB
2025-05-31 14:12:00,17.3 kB
2025-05-31 14:12:15,17.3 kB
2025-05-31 14:12:30,19.2 kB
2025-05-31 14:12:45,21.5 kB
2025-05-31 14:13:00,18.3 kB
2025-05-31 14:13:15,12.9 kB
2025-05-31 14:13:30,7.73 kB
2025-05-31 14:13:45,7.67 kB
2025-05-31 14:14:00,8.92 kB
2025-05-31 14:14:15,8.75 kB
2025-05-31 14:14:30,7.15 kB
2025-05-31 14:14:45,5.55 kB
2025-05-31 14:15:00,3.84 kB
2025-05-31 14:15:15,3.68 kB
2025-05-31 14:15:30,3.75 kB
2025-05-31 14:15:45,3.86 kB
2025-05-31 14:16:00,3.84 kB
2025-05-31 14:16:15,3.88 kB
2025-05-31 14:16:30,5.35 kB
2025-05-31 14:16:45,7.19 kB
2025-05-31 14:17:00,7.38 kB
2025-05-31 14:17:15,5.73 kB

