"Time","local"
2025-06-08 13:00:00,0 B/s
2025-06-08 13:00:15,0 B/s
2025-06-08 13:00:30,0 B/s
2025-06-08 13:00:45,8.35 kB/s
2025-06-08 13:01:00,8.35 kB/s
2025-06-08 13:01:15,8.35 kB/s
2025-06-08 13:01:30,8.35 kB/s
2025-06-08 13:01:45,8.97 kB/s
2025-06-08 13:02:00,8.97 kB/s
2025-06-08 13:02:15,8.94 kB/s
2025-06-08 13:02:30,8.94 kB/s
2025-06-08 13:02:45,4.99 kB/s
2025-06-08 13:03:00,4.99 kB/s
2025-06-08 13:03:15,4.99 kB/s
2025-06-08 13:03:30,4.98 kB/s
2025-06-08 13:03:45,8.51 kB/s
2025-06-08 13:04:00,8.51 kB/s
2025-06-08 13:04:15,8.49 kB/s
2025-06-08 13:04:30,8.49 kB/s
2025-06-08 13:04:45,7.02 kB/s
2025-06-08 13:05:00,7.02 kB/s
2025-06-08 13:05:15,7.02 kB/s
2025-06-08 13:05:30,7.02 kB/s
2025-06-08 13:05:45,16.7 kB/s
2025-06-08 13:06:00,16.7 kB/s
2025-06-08 13:06:15,16.6 kB/s
2025-06-08 13:06:30,16.6 kB/s
2025-06-08 13:06:45,9.98 kB/s
2025-06-08 13:07:00,9.98 kB/s
2025-06-08 13:07:15,9.98 kB/s
2025-06-08 13:07:30,9.98 kB/s
2025-06-08 13:07:45,19.0 kB/s
2025-06-08 13:08:00,19.0 kB/s
2025-06-08 13:08:15,19.0 kB/s
2025-06-08 13:08:30,19.0 kB/s
2025-06-08 13:08:45,14.9 kB/s
2025-06-08 13:09:00,14.9 kB/s
2025-06-08 13:09:15,14.9 kB/s
2025-06-08 13:09:30,14.9 kB/s
2025-06-08 13:09:45,16.2 kB/s
2025-06-08 13:10:00,16.2 kB/s
2025-06-08 13:10:15,16.2 kB/s
2025-06-08 13:10:30,16.2 kB/s
2025-06-08 13:10:45,20.1 kB/s
2025-06-08 13:11:00,20.1 kB/s
2025-06-08 13:11:15,20.1 kB/s
2025-06-08 13:11:30,20.1 kB/s
2025-06-08 13:11:45,21.9 kB/s
2025-06-08 13:12:00,21.9 kB/s
2025-06-08 13:12:15,21.9 kB/s
2025-06-08 13:12:30,21.9 kB/s
2025-06-08 13:12:45,11.7 kB/s
2025-06-08 13:13:00,11.7 kB/s
2025-06-08 13:13:15,11.6 kB/s
2025-06-08 13:13:30,11.6 kB/s
2025-06-08 13:13:45,3.20 kB/s
2025-06-08 13:14:00,3.19 kB/s
2025-06-08 13:14:15,3.18 kB/s
2025-06-08 13:14:30,3.18 kB/s
2025-06-08 13:14:45,15.9 kB/s
2025-06-08 13:15:00,15.9 kB/s
2025-06-08 13:15:15,15.9 kB/s
2025-06-08 13:15:30,15.9 kB/s
2025-06-08 13:15:45,14.3 kB/s
2025-06-08 13:16:00,14.3 kB/s
2025-06-08 13:16:15,14.2 kB/s
2025-06-08 13:16:30,14.2 kB/s
2025-06-08 13:16:45,5.68 kB/s
2025-06-08 13:17:00,5.68 kB/s
2025-06-08 13:17:15,5.68 kB/s
2025-06-08 13:17:30,5.68 kB/s
2025-06-08 13:17:45,4.92 kB/s
2025-06-08 13:18:00,4.89 kB/s
2025-06-08 13:18:15,4.89 kB/s
2025-06-08 13:18:30,4.89 kB/s
2025-06-08 13:18:45,2.49 kB/s
2025-06-08 13:19:00,2.49 kB/s
2025-06-08 13:19:15,2.47 kB/s
2025-06-08 13:19:30,2.47 kB/s
2025-06-08 13:19:45,4.72 kB/s
2025-06-08 13:20:00,4.72 kB/s

