"Time","histogram_quantile(
    0.999,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 13:00:00,2.84 s
2025-06-08 13:00:15,2.81 s
2025-06-08 13:00:30,2.79 s
2025-06-08 13:00:45,547 ms
2025-06-08 13:01:00,510 ms
2025-06-08 13:01:15,351 ms
2025-06-08 13:01:30,281 ms
2025-06-08 13:01:45,284 ms
2025-06-08 13:02:00,102 ms
2025-06-08 13:02:15,107 ms
2025-06-08 13:02:30,111 ms
2025-06-08 13:02:45,42.6 ms
2025-06-08 13:03:00,69.0 ms
2025-06-08 13:03:15,167 ms
2025-06-08 13:03:30,219 ms
2025-06-08 13:03:45,209 ms
2025-06-08 13:04:00,222 ms
2025-06-08 13:04:15,117 ms
2025-06-08 13:04:30,197 ms
2025-06-08 13:04:45,195 ms
2025-06-08 13:05:00,307 ms
2025-06-08 13:05:15,299 ms
2025-06-08 13:05:30,284 ms
2025-06-08 13:05:45,287 ms
2025-06-08 13:06:00,156 ms
2025-06-08 13:06:15,132 ms
2025-06-08 13:06:30,134 ms
2025-06-08 13:06:45,146 ms
2025-06-08 13:07:00,142 ms
2025-06-08 13:07:15,159 ms
2025-06-08 13:07:30,561 ms
2025-06-08 13:07:45,546 ms
2025-06-08 13:08:00,513 ms
2025-06-08 13:08:15,127 ms
2025-06-08 13:08:30,107 ms
2025-06-08 13:08:45,99.9 ms
2025-06-08 13:09:00,103 ms
2025-06-08 13:09:15,99.2 ms
2025-06-08 13:09:30,110 ms
2025-06-08 13:09:45,112 ms
2025-06-08 13:10:00,95.9 ms
2025-06-08 13:10:15,87.2 ms
2025-06-08 13:10:30,104 ms
2025-06-08 13:10:45,101 ms
2025-06-08 13:11:00,95.6 ms
2025-06-08 13:11:15,87.6 ms
2025-06-08 13:11:30,82.9 ms
2025-06-08 13:11:45,78.8 ms
2025-06-08 13:12:00,88.8 ms
2025-06-08 13:12:15,274 ms
2025-06-08 13:12:30,274 ms
2025-06-08 13:12:45,284 ms
2025-06-08 13:13:00,318 ms
2025-06-08 13:13:15,42.0 ms
2025-06-08 13:13:30,42.7 ms
2025-06-08 13:13:45,65.6 ms
2025-06-08 13:14:00,109 ms
2025-06-08 13:14:15,441 ms
2025-06-08 13:14:30,441 ms
2025-06-08 13:14:45,446 ms
2025-06-08 13:15:00,450 ms
2025-06-08 13:15:15,106 ms
2025-06-08 13:15:30,88.9 ms
2025-06-08 13:15:45,87.7 ms
2025-06-08 13:16:00,93.5 ms
2025-06-08 13:16:15,102 ms
2025-06-08 13:16:30,87.0 ms
2025-06-08 13:16:45,87.0 ms
2025-06-08 13:17:00,87.4 ms
2025-06-08 13:17:15,80.7 ms
2025-06-08 13:17:30,78.6 ms
2025-06-08 13:17:45,35.3 ms
2025-06-08 13:18:00,24.2 ms
2025-06-08 13:18:15,58.0 ms
2025-06-08 13:18:30,58.1 ms
2025-06-08 13:18:45,58.2 ms
2025-06-08 13:19:00,26.3 ms
2025-06-08 13:19:15,105 ms
2025-06-08 13:19:30,103 ms
2025-06-08 13:19:45,102 ms
2025-06-08 13:20:00,89.5 ms

