"Time","local"
2025-06-08 13:40:45,3.88 kB/s
2025-06-08 13:41:00,3.88 kB/s
2025-06-08 13:41:15,3.87 kB/s
2025-06-08 13:41:30,3.87 kB/s
2025-06-08 13:41:45,9.33 kB/s
2025-06-08 13:42:00,9.33 kB/s
2025-06-08 13:42:15,9.33 kB/s
2025-06-08 13:42:30,9.33 kB/s
2025-06-08 13:42:45,7.57 kB/s
2025-06-08 13:43:00,7.57 kB/s
2025-06-08 13:43:15,7.57 kB/s
2025-06-08 13:43:30,7.57 kB/s
2025-06-08 13:43:45,3.08 kB/s
2025-06-08 13:44:00,3.08 kB/s
2025-06-08 13:44:15,3.08 kB/s
2025-06-08 13:44:30,3.08 kB/s
2025-06-08 13:44:45,11.3 kB/s
2025-06-08 13:45:00,11.3 kB/s
2025-06-08 13:45:15,11.3 kB/s
2025-06-08 13:45:30,11.3 kB/s
2025-06-08 13:45:45,7.99 kB/s
2025-06-08 13:46:00,7.99 kB/s
2025-06-08 13:46:15,7.99 kB/s
2025-06-08 13:46:30,7.99 kB/s
2025-06-08 13:46:45,17.5 kB/s
2025-06-08 13:47:00,17.5 kB/s
2025-06-08 13:47:15,17.5 kB/s
2025-06-08 13:47:30,17.5 kB/s
2025-06-08 13:47:45,10.8 kB/s
2025-06-08 13:48:00,10.8 kB/s
2025-06-08 13:48:15,10.8 kB/s
2025-06-08 13:48:30,10.8 kB/s
2025-06-08 13:48:45,19.7 kB/s
2025-06-08 13:49:00,19.7 kB/s
2025-06-08 13:49:15,19.7 kB/s
2025-06-08 13:49:30,19.7 kB/s
2025-06-08 13:49:45,15.6 kB/s
2025-06-08 13:50:00,15.6 kB/s
2025-06-08 13:50:15,15.6 kB/s
2025-06-08 13:50:30,15.6 kB/s
2025-06-08 13:50:45,17.0 kB/s
2025-06-08 13:51:00,17.0 kB/s
2025-06-08 13:51:15,17.0 kB/s
2025-06-08 13:51:30,17.0 kB/s
2025-06-08 13:51:45,25.8 kB/s
2025-06-08 13:52:00,25.8 kB/s
2025-06-08 13:52:15,25.8 kB/s
2025-06-08 13:52:30,25.8 kB/s
2025-06-08 13:52:45,13.7 kB/s
2025-06-08 13:53:00,13.7 kB/s
2025-06-08 13:53:15,13.7 kB/s
2025-06-08 13:53:30,13.7 kB/s
2025-06-08 13:53:45,9.81 kB/s
2025-06-08 13:54:00,9.79 kB/s
2025-06-08 13:54:15,9.78 kB/s
2025-06-08 13:54:30,9.77 kB/s
2025-06-08 13:54:45,9.12 kB/s
2025-06-08 13:55:00,9.12 kB/s
2025-06-08 13:55:15,9.12 kB/s
2025-06-08 13:55:30,9.12 kB/s
2025-06-08 13:55:45,13.5 kB/s
2025-06-08 13:56:00,13.5 kB/s
2025-06-08 13:56:15,13.5 kB/s
2025-06-08 13:56:30,13.5 kB/s
2025-06-08 13:56:45,11.4 kB/s
2025-06-08 13:57:00,11.4 kB/s
2025-06-08 13:57:15,11.4 kB/s
2025-06-08 13:57:30,11.4 kB/s
2025-06-08 13:57:45,7.08 kB/s
2025-06-08 13:58:00,7.07 kB/s
2025-06-08 13:58:15,7.07 kB/s
2025-06-08 13:58:30,7.05 kB/s
2025-06-08 13:58:45,2.96 kB/s
2025-06-08 13:59:00,2.95 kB/s
2025-06-08 13:59:15,2.93 kB/s
2025-06-08 13:59:30,2.93 kB/s
2025-06-08 13:59:45,2.83 kB/s
2025-06-08 14:00:00,2.83 kB/s
2025-06-08 14:00:15,2.83 kB/s
2025-06-08 14:00:30,2.81 kB/s
2025-06-08 14:00:45,5.46 kB/s

