"Time","histogram_quantile(
    0.99,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 13:40:45,15.1 ms
2025-06-08 13:41:00,20.0 ms
2025-06-08 13:41:15,54.8 ms
2025-06-08 13:41:30,45.9 ms
2025-06-08 13:41:45,44.4 ms
2025-06-08 13:42:00,40.4 ms
2025-06-08 13:42:15,36.4 ms
2025-06-08 13:42:30,41.6 ms
2025-06-08 13:42:45,36.3 ms
2025-06-08 13:43:00,36.4 ms
2025-06-08 13:43:15,8.26 ms
2025-06-08 13:43:30,9.54 ms
2025-06-08 13:43:45,36.0 ms
2025-06-08 13:44:00,43.5 ms
2025-06-08 13:44:15,45.7 ms
2025-06-08 13:44:30,42.5 ms
2025-06-08 13:44:45,39.2 ms
2025-06-08 13:45:00,36.2 ms
2025-06-08 13:45:15,41.3 ms
2025-06-08 13:45:30,48.4 ms
2025-06-08 13:45:45,49.6 ms
2025-06-08 13:46:00,46.4 ms
2025-06-08 13:46:15,42.9 ms
2025-06-08 13:46:30,40.9 ms
2025-06-08 13:46:45,42.1 ms
2025-06-08 13:47:00,42.4 ms
2025-06-08 13:47:15,46.7 ms
2025-06-08 13:47:30,53.2 ms
2025-06-08 13:47:45,55.1 ms
2025-06-08 13:48:00,50.5 ms
2025-06-08 13:48:15,51.4 ms
2025-06-08 13:48:30,51.3 ms
2025-06-08 13:48:45,54.2 ms
2025-06-08 13:49:00,43.8 ms
2025-06-08 13:49:15,40.6 ms
2025-06-08 13:49:30,30.1 ms
2025-06-08 13:49:45,35.3 ms
2025-06-08 13:50:00,35.1 ms
2025-06-08 13:50:15,38.0 ms
2025-06-08 13:50:30,29.6 ms
2025-06-08 13:50:45,28.5 ms
2025-06-08 13:51:00,39.7 ms
2025-06-08 13:51:15,41.1 ms
2025-06-08 13:51:30,40.8 ms
2025-06-08 13:51:45,38.6 ms
2025-06-08 13:52:00,31.8 ms
2025-06-08 13:52:15,41.3 ms
2025-06-08 13:52:30,42.2 ms
2025-06-08 13:52:45,48.5 ms
2025-06-08 13:53:00,32.6 ms
2025-06-08 13:53:15,34.1 ms
2025-06-08 13:53:30,21.3 ms
2025-06-08 13:53:45,9.73 ms
2025-06-08 13:54:00,6.85 ms
2025-06-08 13:54:15,21.0 ms
2025-06-08 13:54:30,25.6 ms
2025-06-08 13:54:45,26.2 ms
2025-06-08 13:55:00,24.6 ms
2025-06-08 13:55:15,27.6 ms
2025-06-08 13:55:30,30.8 ms
2025-06-08 13:55:45,35.4 ms
2025-06-08 13:56:00,36.5 ms
2025-06-08 13:56:15,95.5 ms
2025-06-08 13:56:30,144 ms
2025-06-08 13:56:45,175 ms
2025-06-08 13:57:00,20.6 ms
2025-06-08 13:57:15,21.1 ms
2025-06-08 13:57:30,24.4 ms
2025-06-08 13:57:45,22.0 ms
2025-06-08 13:58:00,21.3 ms
2025-06-08 13:58:15,11.9 ms
2025-06-08 13:58:30,11.9 ms
2025-06-08 13:58:45,11.5 ms
2025-06-08 13:59:00,6.67 ms
2025-06-08 13:59:15,9.16 ms
2025-06-08 13:59:30,10.4 ms
2025-06-08 13:59:45,13.6 ms
2025-06-08 14:00:00,16.4 ms
2025-06-08 14:00:15,27.1 ms
2025-06-08 14:00:30,25.7 ms
2025-06-08 14:00:45,26.9 ms

