"Time","local"
2025-05-30 22:43:30,0 B/s
2025-05-30 22:43:45,0 B/s
2025-05-30 22:44:00,12.0 kB/s
2025-05-30 22:44:15,24.2 kB/s
2025-05-30 22:44:30,24.2 kB/s
2025-05-30 22:44:45,24.2 kB/s
2025-05-30 22:45:00,15.7 kB/s
2025-05-30 22:45:15,6.96 kB/s
2025-05-30 22:45:30,6.95 kB/s
2025-05-30 22:45:45,6.93 kB/s
2025-05-30 22:46:00,5.96 kB/s
2025-05-30 22:46:15,5.14 kB/s
2025-05-30 22:46:30,5.14 kB/s
2025-05-30 22:46:45,5.13 kB/s
2025-05-30 22:47:00,7.86 kB/s
2025-05-30 22:47:15,10.7 kB/s
2025-05-30 22:47:30,10.7 kB/s
2025-05-30 22:47:45,10.7 kB/s
2025-05-30 22:48:00,8.43 kB/s
2025-05-30 22:48:15,5.98 kB/s
2025-05-30 22:48:30,5.98 kB/s
2025-05-30 22:48:45,5.98 kB/s
2025-05-30 22:49:00,12.8 kB/s
2025-05-30 22:49:15,19.8 kB/s
2025-05-30 22:49:30,19.8 kB/s
2025-05-30 22:49:45,19.8 kB/s
2025-05-30 22:50:00,15.7 kB/s
2025-05-30 22:50:15,10.9 kB/s
2025-05-30 22:50:30,10.9 kB/s
2025-05-30 22:50:45,10.9 kB/s
2025-05-30 22:51:00,14.9 kB/s
2025-05-30 22:51:15,19.5 kB/s
2025-05-30 22:51:30,19.5 kB/s
2025-05-30 22:51:45,19.5 kB/s
2025-05-30 22:52:00,16.3 kB/s
2025-05-30 22:52:15,13.4 kB/s
2025-05-30 22:52:30,13.4 kB/s
2025-05-30 22:52:45,13.4 kB/s
2025-05-30 22:53:00,15.7 kB/s
2025-05-30 22:53:15,16.9 kB/s
2025-05-30 22:53:30,16.9 kB/s
2025-05-30 22:53:45,16.9 kB/s
2025-05-30 22:54:00,20.5 kB/s
2025-05-30 22:54:15,24.7 kB/s
2025-05-30 22:54:30,24.7 kB/s
2025-05-30 22:54:45,24.7 kB/s
2025-05-30 22:55:00,22.3 kB/s
2025-05-30 22:55:15,19.7 kB/s
2025-05-30 22:55:30,19.7 kB/s
2025-05-30 22:55:45,19.7 kB/s
2025-05-30 22:56:00,15.2 kB/s
2025-05-30 22:56:15,10.9 kB/s
2025-05-30 22:56:30,10.9 kB/s
2025-05-30 22:56:45,10.9 kB/s
2025-05-30 22:57:00,7.20 kB/s
2025-05-30 22:57:15,3.13 kB/s
2025-05-30 22:57:30,3.12 kB/s
2025-05-30 22:57:45,3.12 kB/s
2025-05-30 22:58:00,9.96 kB/s
2025-05-30 22:58:15,16.8 kB/s
2025-05-30 22:58:30,16.8 kB/s
2025-05-30 22:58:45,16.8 kB/s
2025-05-30 22:59:00,15.6 kB/s
2025-05-30 22:59:15,14.3 kB/s
2025-05-30 22:59:30,14.3 kB/s
2025-05-30 22:59:45,14.3 kB/s
2025-05-30 23:00:00,9.83 kB/s
2025-05-30 23:00:15,5.45 kB/s
2025-05-30 23:00:30,5.45 kB/s
2025-05-30 23:00:45,5.45 kB/s
2025-05-30 23:01:00,5.11 kB/s
2025-05-30 23:01:15,4.83 kB/s
2025-05-30 23:01:30,4.83 kB/s
2025-05-30 23:01:45,4.82 kB/s
2025-05-30 23:02:00,3.74 kB/s
2025-05-30 23:02:15,2.85 kB/s
2025-05-30 23:02:30,2.85 kB/s
2025-05-30 23:02:45,2.85 kB/s
2025-05-30 23:03:00,3.97 kB/s
2025-05-30 23:03:15,5.06 kB/s
2025-05-30 23:03:30,5.05 kB/s

