"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-30 22:43:30,
2025-05-30 22:43:45,155 ms
2025-05-30 22:44:00,25.8 ms
2025-05-30 22:44:15,25.9 ms
2025-05-30 22:44:30,19.5 ms
2025-05-30 22:44:45,15.5 ms
2025-05-30 22:45:00,12.7 ms
2025-05-30 22:45:15,12.2 ms
2025-05-30 22:45:30,11.1 ms
2025-05-30 22:45:45,10.2 ms
2025-05-30 22:46:00,8.08 ms
2025-05-30 22:46:15,8.35 ms
2025-05-30 22:46:30,14.0 ms
2025-05-30 22:46:45,14.7 ms
2025-05-30 22:47:00,13.8 ms
2025-05-30 22:47:15,13.2 ms
2025-05-30 22:47:30,9.16 ms
2025-05-30 22:47:45,10.7 ms
2025-05-30 22:48:00,13.2 ms
2025-05-30 22:48:15,19.3 ms
2025-05-30 22:48:30,14.4 ms
2025-05-30 22:48:45,15.6 ms
2025-05-30 22:49:00,14.6 ms
2025-05-30 22:49:15,16.1 ms
2025-05-30 22:49:30,16.4 ms
2025-05-30 22:49:45,13.8 ms
2025-05-30 22:50:00,12.9 ms
2025-05-30 22:50:15,14.3 ms
2025-05-30 22:50:30,15.1 ms
2025-05-30 22:50:45,17.9 ms
2025-05-30 22:51:00,16.9 ms
2025-05-30 22:51:15,18.0 ms
2025-05-30 22:51:30,15.3 ms
2025-05-30 22:51:45,15.3 ms
2025-05-30 22:52:00,15.0 ms
2025-05-30 22:52:15,18.0 ms
2025-05-30 22:52:30,17.2 ms
2025-05-30 22:52:45,16.4 ms
2025-05-30 22:53:00,14.4 ms
2025-05-30 22:53:15,16.3 ms
2025-05-30 22:53:30,16.1 ms
2025-05-30 22:53:45,16.6 ms
2025-05-30 22:54:00,16.5 ms
2025-05-30 22:54:15,18.0 ms
2025-05-30 22:54:30,17.5 ms
2025-05-30 22:54:45,16.7 ms
2025-05-30 22:55:00,14.9 ms
2025-05-30 22:55:15,15.7 ms
2025-05-30 22:55:30,17.2 ms
2025-05-30 22:55:45,15.2 ms
2025-05-30 22:56:00,13.9 ms
2025-05-30 22:56:15,8.25 ms
2025-05-30 22:56:30,8.22 ms
2025-05-30 22:56:45,8.37 ms
2025-05-30 22:57:00,12.6 ms
2025-05-30 22:57:15,15.9 ms
2025-05-30 22:57:30,14.0 ms
2025-05-30 22:57:45,13.7 ms
2025-05-30 22:58:00,10.7 ms
2025-05-30 22:58:15,13.2 ms
2025-05-30 22:58:30,15.0 ms
2025-05-30 22:58:45,13.9 ms
2025-05-30 22:59:00,13.1 ms
2025-05-30 22:59:15,12.5 ms
2025-05-30 22:59:30,11.6 ms
2025-05-30 22:59:45,10.4 ms
2025-05-30 23:00:00,11.9 ms
2025-05-30 23:00:15,12.8 ms
2025-05-30 23:00:30,13.3 ms
2025-05-30 23:00:45,12.7 ms
2025-05-30 23:01:00,8.75 ms
2025-05-30 23:01:15,8.25 ms
2025-05-30 23:01:30,8.13 ms
2025-05-30 23:01:45,8.12 ms
2025-05-30 23:02:00,7.83 ms
2025-05-30 23:02:15,8.08 ms
2025-05-30 23:02:30,11.6 ms
2025-05-30 23:02:45,10.9 ms
2025-05-30 23:03:00,10.2 ms
2025-05-30 23:03:15,9.25 ms
2025-05-30 23:03:30,8.05 ms

