"Time","histogram_quantile(
    0.999,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-30 22:43:30,
2025-05-30 22:43:45,516 ms
2025-05-30 22:44:00,478 ms
2025-05-30 22:44:15,458 ms
2025-05-30 22:44:30,421 ms
2025-05-30 22:44:45,221 ms
2025-05-30 22:45:00,216 ms
2025-05-30 22:45:15,48.6 ms
2025-05-30 22:45:30,48.9 ms
2025-05-30 22:45:45,37.7 ms
2025-05-30 22:46:00,26.9 ms
2025-05-30 22:46:15,34.7 ms
2025-05-30 22:46:30,58.7 ms
2025-05-30 22:46:45,59.8 ms
2025-05-30 22:47:00,58.9 ms
2025-05-30 22:47:15,54.3 ms
2025-05-30 22:47:30,47.1 ms
2025-05-30 22:47:45,47.6 ms
2025-05-30 22:48:00,47.8 ms
2025-05-30 22:48:15,138 ms
2025-05-30 22:48:30,133 ms
2025-05-30 22:48:45,131 ms
2025-05-30 22:49:00,99.5 ms
2025-05-30 22:49:15,94.7 ms
2025-05-30 22:49:30,99.9 ms
2025-05-30 22:49:45,93.7 ms
2025-05-30 22:50:00,72.2 ms
2025-05-30 22:50:15,69.4 ms
2025-05-30 22:50:30,58.9 ms
2025-05-30 22:50:45,85.8 ms
2025-05-30 22:51:00,90.1 ms
2025-05-30 22:51:15,129 ms
2025-05-30 22:51:30,132 ms
2025-05-30 22:51:45,133 ms
2025-05-30 22:52:00,88.9 ms
2025-05-30 22:52:15,100 ms
2025-05-30 22:52:30,101 ms
2025-05-30 22:52:45,105 ms
2025-05-30 22:53:00,105 ms
2025-05-30 22:53:15,92.3 ms
2025-05-30 22:53:30,79.5 ms
2025-05-30 22:53:45,73.3 ms
2025-05-30 22:54:00,70.2 ms
2025-05-30 22:54:15,81.5 ms
2025-05-30 22:54:30,83.8 ms
2025-05-30 22:54:45,85.5 ms
2025-05-30 22:55:00,79.6 ms
2025-05-30 22:55:15,108 ms
2025-05-30 22:55:30,128 ms
2025-05-30 22:55:45,128 ms
2025-05-30 22:56:00,116 ms
2025-05-30 22:56:15,98.8 ms
2025-05-30 22:56:30,135 ms
2025-05-30 22:56:45,140 ms
2025-05-30 22:57:00,55.1 ms
2025-05-30 22:57:15,82.2 ms
2025-05-30 22:57:30,86.7 ms
2025-05-30 22:57:45,85.6 ms
2025-05-30 22:58:00,90.1 ms
2025-05-30 22:58:15,55.4 ms
2025-05-30 22:58:30,55.4 ms
2025-05-30 22:58:45,54.7 ms
2025-05-30 22:59:00,54.4 ms
2025-05-30 22:59:15,51.7 ms
2025-05-30 22:59:30,47.5 ms
2025-05-30 22:59:45,54.0 ms
2025-05-30 23:00:00,52.7 ms
2025-05-30 23:00:15,92.9 ms
2025-05-30 23:00:30,97.7 ms
2025-05-30 23:00:45,98.8 ms
2025-05-30 23:01:00,29.5 ms
2025-05-30 23:01:15,35.3 ms
2025-05-30 23:01:30,74.4 ms
2025-05-30 23:01:45,74.1 ms
2025-05-30 23:02:00,74.6 ms
2025-05-30 23:02:15,24.3 ms
2025-05-30 23:02:30,53.4 ms
2025-05-30 23:02:45,52.5 ms
2025-05-30 23:03:00,52.3 ms
2025-05-30 23:03:15,52.7 ms
2025-05-30 23:03:30,24.1 ms

