"Time","local"
2025-05-31 17:32:00,5.05 kB/s
2025-05-31 17:32:15,2.55 kB/s
2025-05-31 17:32:30,2.54 kB/s
2025-05-31 17:32:45,2.54 kB/s
2025-05-31 17:33:00,2.54 kB/s
2025-05-31 17:33:15,13.6 kB/s
2025-05-31 17:33:30,13.6 kB/s
2025-05-31 17:33:45,13.6 kB/s
2025-05-31 17:34:00,13.6 kB/s
2025-05-31 17:34:15,6.94 kB/s
2025-05-31 17:34:30,6.94 kB/s
2025-05-31 17:34:45,6.82 kB/s
2025-05-31 17:35:00,6.82 kB/s
2025-05-31 17:35:15,5.77 kB/s
2025-05-31 17:35:30,5.77 kB/s
2025-05-31 17:35:45,5.77 kB/s
2025-05-31 17:36:00,5.77 kB/s
2025-05-31 17:36:15,10.6 kB/s
2025-05-31 17:36:30,10.6 kB/s
2025-05-31 17:36:45,10.6 kB/s
2025-05-31 17:37:00,10.6 kB/s
2025-05-31 17:37:15,15.4 kB/s
2025-05-31 17:37:30,15.4 kB/s
2025-05-31 17:37:45,15.4 kB/s
2025-05-31 17:38:00,15.4 kB/s
2025-05-31 17:38:15,16.3 kB/s
2025-05-31 17:38:30,16.3 kB/s
2025-05-31 17:38:45,16.3 kB/s
2025-05-31 17:39:00,16.3 kB/s
2025-05-31 17:39:15,17.2 kB/s
2025-05-31 17:39:30,17.2 kB/s
2025-05-31 17:39:45,17.2 kB/s
2025-05-31 17:40:00,17.2 kB/s
2025-05-31 17:40:15,22.0 kB/s
2025-05-31 17:40:30,22.0 kB/s
2025-05-31 17:40:45,22.0 kB/s
2025-05-31 17:41:00,22.0 kB/s
2025-05-31 17:41:15,20.8 kB/s
2025-05-31 17:41:30,20.8 kB/s
2025-05-31 17:41:45,20.8 kB/s
2025-05-31 17:42:00,20.8 kB/s
2025-05-31 17:42:15,20.5 kB/s
2025-05-31 17:42:30,20.5 kB/s
2025-05-31 17:42:45,20.5 kB/s
2025-05-31 17:43:00,20.5 kB/s
2025-05-31 17:43:15,36.4 kB/s
2025-05-31 17:43:30,36.4 kB/s
2025-05-31 17:43:45,36.4 kB/s
2025-05-31 17:44:00,36.4 kB/s
2025-05-31 17:44:15,14.2 kB/s
2025-05-31 17:44:30,14.2 kB/s
2025-05-31 17:44:45,14.2 kB/s
2025-05-31 17:45:00,14.2 kB/s
2025-05-31 17:45:15,5.38 kB/s
2025-05-31 17:45:30,5.38 kB/s
2025-05-31 17:45:45,5.34 kB/s
2025-05-31 17:46:00,5.28 kB/s
2025-05-31 17:46:15,17.8 kB/s
2025-05-31 17:46:30,17.8 kB/s
2025-05-31 17:46:45,17.8 kB/s
2025-05-31 17:47:00,17.8 kB/s
2025-05-31 17:47:15,13.4 kB/s
2025-05-31 17:47:30,13.4 kB/s
2025-05-31 17:47:45,13.4 kB/s
2025-05-31 17:48:00,13.4 kB/s
2025-05-31 17:48:15,11.0 kB/s
2025-05-31 17:48:30,11.0 kB/s
2025-05-31 17:48:45,11.0 kB/s
2025-05-31 17:49:00,11.0 kB/s
2025-05-31 17:49:15,6.60 kB/s
2025-05-31 17:49:30,6.60 kB/s
2025-05-31 17:49:45,6.56 kB/s
2025-05-31 17:50:00,6.49 kB/s
2025-05-31 17:50:15,3.19 kB/s
2025-05-31 17:50:30,3.19 kB/s
2025-05-31 17:50:45,3.19 kB/s
2025-05-31 17:51:00,3.19 kB/s
2025-05-31 17:51:15,4.25 kB/s
2025-05-31 17:51:30,4.25 kB/s
2025-05-31 17:51:45,4.25 kB/s
2025-05-31 17:52:00,4.25 kB/s

