"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 17:52:15,2.64 ms
2025-05-31 17:52:30,3.70 ms
2025-05-31 17:52:45,4.16 ms
2025-05-31 17:53:00,4.13 ms
2025-05-31 17:53:15,4.09 ms
2025-05-31 17:53:30,3.86 ms
2025-05-31 17:53:45,3.72 ms
2025-05-31 17:54:00,3.62 ms
2025-05-31 17:54:15,3.23 ms
2025-05-31 17:54:30,3.32 ms
2025-05-31 17:54:45,2.67 ms
2025-05-31 17:55:00,2.60 ms
2025-05-31 17:55:15,4.72 ms
2025-05-31 17:55:30,4.48 ms
2025-05-31 17:55:45,4.49 ms
2025-05-31 17:56:00,4.00 ms
2025-05-31 17:56:15,3.10 ms
2025-05-31 17:56:30,3.27 ms
2025-05-31 17:56:45,3.64 ms
2025-05-31 17:57:00,4.14 ms
2025-05-31 17:57:15,4.10 ms
2025-05-31 17:57:30,4.03 ms
2025-05-31 17:57:45,4.09 ms
2025-05-31 17:58:00,4.03 ms
2025-05-31 17:58:15,4.13 ms
2025-05-31 17:58:30,4.10 ms
2025-05-31 17:58:45,3.96 ms
2025-05-31 17:59:00,3.93 ms
2025-05-31 17:59:15,4.10 ms
2025-05-31 17:59:30,4.18 ms
2025-05-31 17:59:45,4.31 ms
2025-05-31 18:00:00,4.17 ms
2025-05-31 18:00:15,4.31 ms
2025-05-31 18:00:30,4.19 ms
2025-05-31 18:00:45,4.32 ms
2025-05-31 18:01:00,4.17 ms
2025-05-31 18:01:15,4.51 ms
2025-05-31 18:01:30,4.43 ms
2025-05-31 18:01:45,4.47 ms
2025-05-31 18:02:00,4.06 ms
2025-05-31 18:02:15,4.03 ms
2025-05-31 18:02:30,4.18 ms
2025-05-31 18:02:45,4.15 ms
2025-05-31 18:03:00,4.09 ms
2025-05-31 18:03:15,4.14 ms
2025-05-31 18:03:30,4.16 ms
2025-05-31 18:03:45,4.32 ms
2025-05-31 18:04:00,4.16 ms
2025-05-31 18:04:15,4.20 ms
2025-05-31 18:04:30,3.98 ms
2025-05-31 18:04:45,3.84 ms
2025-05-31 18:05:00,3.20 ms
2025-05-31 18:05:15,2.53 ms
2025-05-31 18:05:30,2.64 ms
2025-05-31 18:05:45,2.78 ms
2025-05-31 18:06:00,4.02 ms
2025-05-31 18:06:15,4.42 ms
2025-05-31 18:06:30,4.16 ms
2025-05-31 18:06:45,4.10 ms
2025-05-31 18:07:00,3.38 ms
2025-05-31 18:07:15,3.91 ms
2025-05-31 18:07:30,3.94 ms
2025-05-31 18:07:45,4.02 ms
2025-05-31 18:08:00,3.77 ms
2025-05-31 18:08:15,3.43 ms
2025-05-31 18:08:30,3.59 ms
2025-05-31 18:08:45,3.83 ms
2025-05-31 18:09:00,3.67 ms
2025-05-31 18:09:15,3.03 ms
2025-05-31 18:09:30,3.12 ms
2025-05-31 18:09:45,2.66 ms
2025-05-31 18:10:00,2.65 ms
2025-05-31 18:10:15,2.70 ms
2025-05-31 18:10:30,2.68 ms
2025-05-31 18:10:45,2.64 ms
2025-05-31 18:11:00,2.55 ms
2025-05-31 18:11:15,3.48 ms
2025-05-31 18:11:30,3.89 ms
2025-05-31 18:11:45,3.84 ms
2025-05-31 18:12:00,3.50 ms
2025-05-31 18:12:15,2.61 ms

