"Time","histogram_quantile(
    0.999,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 17:52:15,29.8 ms
2025-05-31 17:52:30,29.9 ms
2025-05-31 17:52:45,22.9 ms
2025-05-31 17:53:00,21.9 ms
2025-05-31 17:53:15,21.5 ms
2025-05-31 17:53:30,20.1 ms
2025-05-31 17:53:45,20.0 ms
2025-05-31 17:54:00,17.6 ms
2025-05-31 17:54:15,20.0 ms
2025-05-31 17:54:30,20.0 ms
2025-05-31 17:54:45,19.9 ms
2025-05-31 17:55:00,18.1 ms
2025-05-31 17:55:15,76.5 ms
2025-05-31 17:55:30,55.4 ms
2025-05-31 17:55:45,54.0 ms
2025-05-31 17:56:00,45.6 ms
2025-05-31 17:56:15,12.8 ms
2025-05-31 17:56:30,13.7 ms
2025-05-31 17:56:45,15.2 ms
2025-05-31 17:57:00,17.2 ms
2025-05-31 17:57:15,31.3 ms
2025-05-31 17:57:30,40.2 ms
2025-05-31 17:57:45,36.4 ms
2025-05-31 17:58:00,35.4 ms
2025-05-31 17:58:15,36.2 ms
2025-05-31 17:58:30,22.2 ms
2025-05-31 17:58:45,25.4 ms
2025-05-31 17:59:00,25.6 ms
2025-05-31 17:59:15,42.2 ms
2025-05-31 17:59:30,38.2 ms
2025-05-31 17:59:45,35.3 ms
2025-05-31 18:00:00,28.2 ms
2025-05-31 18:00:15,44.0 ms
2025-05-31 18:00:30,45.8 ms
2025-05-31 18:00:45,46.4 ms
2025-05-31 18:01:00,44.4 ms
2025-05-31 18:01:15,83.0 ms
2025-05-31 18:01:30,82.0 ms
2025-05-31 18:01:45,84.5 ms
2025-05-31 18:02:00,70.7 ms
2025-05-31 18:02:15,31.0 ms
2025-05-31 18:02:30,32.4 ms
2025-05-31 18:02:45,45.4 ms
2025-05-31 18:03:00,32.3 ms
2025-05-31 18:03:15,51.1 ms
2025-05-31 18:03:30,51.8 ms
2025-05-31 18:03:45,51.1 ms
2025-05-31 18:04:00,46.4 ms
2025-05-31 18:04:15,63.4 ms
2025-05-31 18:04:30,92.6 ms
2025-05-31 18:04:45,94.9 ms
2025-05-31 18:05:00,66.7 ms
2025-05-31 18:05:15,9.55 ms
2025-05-31 18:05:30,11.5 ms
2025-05-31 18:05:45,18.2 ms
2025-05-31 18:06:00,29.7 ms
2025-05-31 18:06:15,55.2 ms
2025-05-31 18:06:30,53.7 ms
2025-05-31 18:06:45,54.6 ms
2025-05-31 18:07:00,28.8 ms
2025-05-31 18:07:15,21.5 ms
2025-05-31 18:07:30,23.0 ms
2025-05-31 18:07:45,23.4 ms
2025-05-31 18:08:00,21.7 ms
2025-05-31 18:08:15,100 ms
2025-05-31 18:08:30,101 ms
2025-05-31 18:08:45,102 ms
2025-05-31 18:09:00,103 ms
2025-05-31 18:09:15,43.8 ms
2025-05-31 18:09:30,44.0 ms
2025-05-31 18:09:45,12.8 ms
2025-05-31 18:10:00,7.42 ms
2025-05-31 18:10:15,15.8 ms
2025-05-31 18:10:30,29.7 ms
2025-05-31 18:10:45,29.7 ms
2025-05-31 18:11:00,29.8 ms
2025-05-31 18:11:15,49.3 ms
2025-05-31 18:11:30,48.7 ms
2025-05-31 18:11:45,48.6 ms
2025-05-31 18:12:00,30.0 ms
2025-05-31 18:12:15,23.6 ms

